"authorText","contentText"
"@AHMADHIDAYAT-ue6io","Yang pasti mereka bukan nabi adam kan, karena kata buya arrazy , nabi adam itu baru hadir di bumi 8000 tahun yang lalu. Tapi menurut ilmu pengetahuan manusia sudah hidup puluhan ribu tahun yang lalu . Jadi mereka yg puluhan ribu thun itu siapa"
"@milanoelnoya9128","Bang bahas gamma ray burst"
"@silversethblack381","Ular raksasa anaconda juga 🥲"
"@Yogi-bq1ix","Gw pengen Mammoth hidup lagi"
"@KOACAI","yang masi tersisa adalah kadal raksasa yaitu komodo\nsatu lagi penyebab punah hewan raksasa selain manusia adalah bencana alam seperti gunung berapi, tsunami, gempa, kebakaran hutan dll"
"@mohomadmasud2334","Ada poneglybh juga ada IM Sama penguasa pemerintah dunia 😂 @kokbisa"
"@exdespair6085","siap siap untuk menyimpan semua gen mahluk hidup"
"@MAPHILINDOGEOASTRO","Humor gw cuman sekedar\n""Bakso news""😊"
"@trxjunior9247","Kenten chanel ini bagus semua. Tapi sayang videonye terlalu pendek klo dipakai video sebelum tidur"
"@PASTELID77","Planet Bumi akan punah di masa depan sedangkan manusia keluyuran mencari inang barunya"
"@stupidnb7","Kobi real nakama ni.. terlihat dari referensi gambarnya"
"@ekowidiarso8143","Ada imu sama dan ponegliph juga, fix ini animatornya one piece lover.."
"@gaya_-3042","Pada akhirnya kita hanya bisa menyimak aja........btw Semangat"
"@expostgarlic","Titano boa bang, kebetulan temen gw takut ular"
"@ahmadzulmi4177","hewan hewan pada masa dahulu itu kan besar besar ya dan kata nya manusia juga besar besar apakah manusia dulu ketika melihat hewan yang besar itu kaya hewan biasa yang seperti kita lihat sekarang ya?\n\ndan apakah di masa yang akan datang menusia ini semakin kecil dan kaya gajah gajah yang sekarang kita lihat itu akan menjadi kecil seperti yang kita lihat sekarang dari masa lalu?"
"@_irfanfadilah","Nice One Piece references you got there!"
"@kopiko6023","kemana? jadi makanan lah 😆"
"@vivafantasyofficial","2:31 Em Mantap Ada One Piece Keren Dah Pokoknya SiImu Sama Respect🗿"
"@user-gu9sl8mv8d","Siapa cita citanya pengen jadi naga atau siluman kadal?🗿"
"@adealansetiawan1542","Pada akhirnya kitalah pembuat kehancuran dunia"
"@rizkyfaturahman4655","KALO MONSTER"" ZAMAN DULU GA PUNAH, KITA HIDUP BAKAL KESULITAN UNTUK BERKEMBANG"
"@agethepublic2891","Emang boleh se""onepiece"" itu?"
"@andrinugroho6875","Apakah yg terakhir pedang shanks ?"
"@ahyarrosidi1378","Berasa nontn one piece 😅"
"@Rama95_","Kok biasa hewan seperti itu"
"@sidep5563","one piece reference😂"
"@hartatikfauzan1852","kan pemerintah Indonesia kan kurang produktif dan kurang cepat menangani masalah karna kelakuan pejabat nya pakah semestinya Indonesia menganut sistem pemerintahan teokrasi supaya pemimpin negara lebih konsisten dalam membangun negara"
"@fajarhamim4103","Gw pengen liat Mahmud sih"
"@nafishaquaman5101","Semoga kematian nevertari d cobra nggak sia2..."
"@annisathamaradina592","keren cuy"
"@krismiyati4548","ga zaman sekarang ga zaman dulu manusia puncak rantai makanan , rakusnya hehe"
"@kennethpurnomo7211","Wih, di endingnya referensi apa tuh? Boleh tau?"
"@galihmahotama888","kenapa orang indonesia ga eneg makan nasi?"
"@edikoernia8573","Anjir imu-sama..."
"@vierryfirdaus6847","Anak 90 an mana tau seru nya orang zaman dulu berburu mahmud"
"@brofyan7574","Coba kita masih setinggi itu 😂😂 pasti gak sulit maling mangga tetangga"
"@zleaxsida","😂😂😊😊"
"@Jormungandr1997","Ngga heran juga sih jika manusia memanglah seburuk-buruknya produk gagal buatan semesta. Lebih banyak kenyataan pahit...\n\nAku sendir yg notabenenya manusiapun merasa menyesal dan malu dilahirkan sebagai makhluk yg katanya ""bermoral"" namun nyatanya bobrok yg disebut ""manusia""..."
"@memewq","Satu raksasa yang ingin aku slametin  mungkin burung kondor raksasa atau sepeda nabi adam"
"@andreasnalagu8168","oalah kukang beneran ada"
"@sitisoleha283","Ka jelasin kenapa kunang kunang akan punah"
